describe,introduce,invaluate,movie_name,serial_number,star
爱是摈弃傲慢与偏见之后的曙光。,2005/法国英国美国/剧情爱情,363052人评价,傲慢与偏见,148,8.5
始于荒诞，止于更荒诞。,2014/阿根廷西班牙/剧情喜剧犯罪,181651人评价,荒蛮故事,149,8.8
大海啊，不全是水。,2009/法国瑞士西班牙美国阿联酋/纪录片,107733人评价,海洋,150,9.0
香港浪漫主义警匪动作片的巅峰之作。,1991/香港/剧情喜剧动作犯罪,184397人评价,纵横四海,151,8.7
我们都有权利不与自己的过去和解。,2016/美国/剧情家庭,248277人评价,海边的曼彻斯特,152,8.6
我的平常生活就是他人的幸福。,2004/日本/剧情,94758人评价,无人知晓,153,9.1
把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,2013/英国/剧情爱情奇幻,249283人评价,时空恋旅人,154,8.7
任何信念的力量，都无法改变命运。,1990/美国/剧情犯罪,158626人评价,教父3,155,8.8
永远看不腻的喜剧。,1966/法国英国/喜剧战争,123079人评价,虎口脱险,156,8.9
坏人的好总是比好人的好来得更感人。,1993/美国/剧情犯罪,99526人评价,完美的世界,157,9.0
跨度十五年的欢乐与泪水。,2010/美国/喜剧动画奇幻冒险,227487人评价,玩具总动员3,158,8.8
偷情本没有这样美。,2000/香港/剧情爱情,291010人评价,花样年华,159,8.6
传奇，不是每个人都可以拥有。,1994/美国/剧情爱情西部家庭,166396人评价,燃情岁月,160,8.7
爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,2004/美国/剧情爱情,334373人评价,恋恋笔记本,161,8.5
Jared Leto的腿比女人还美！,2013/美国/剧情传记同性,224334人评价,达拉斯买家俱乐部,162,8.7
优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,2016/美国澳大利亚/剧情传记历史战争,390988人评价,血战钢锯岭,163,8.7
有一些东西不应该被遗忘。,2015/中国大陆/纪录片,133803人评价,二十二,164,8.7
骨灰级歌舞片。,1952/美国/喜剧歌舞爱情,107437人评价,雨中曲,165,9.0
中国式内在的美国电影。,1940/美国/剧情战争爱情,147431人评价,魂断蓝桥,166,8.8
爱上未来的你。 ,2006/日本/剧情爱情科幻动画,214777人评价,穿越时空的少女,167,8.6
不可猜的青春迷笛。 ,1996/英国/犯罪剧情,279240人评价,猜火车,168,8.5
爱并不需要智商 。,2001/美国/剧情家庭,126228人评价,我是山姆,169,8.8
松鼠才是角儿。,2002/美国/喜剧动画冒险,323189人评价,冰川时代,170,8.5
对爱的执着，可以超越一切。,2001/美国/冒险剧情科幻,223387人评价,人工智能,171,8.6
这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,2014/美国/剧情音乐,279504人评价,爆裂鼓手,172,8.6
愿我们都不用长大，每一座城堡都能永远存在。,2015/美国/喜剧动画冒险,281118人评价,头脑特工队,173,8.7
热血沸腾，那个低俗、性感的无耻混蛋又来了。,2012/美国/剧情动作西部冒险,303033人评价,被解救的姜戈,174,8.6
好的剧本是，就算你猜到了结局也猜不到全部。,1997/日本/动画奇幻惊悚,120247人评价,未麻的部屋,175,8.9
人生的N种可能性。,1950/日本/犯罪剧情悬疑,150383人评价,罗生门,176,8.7
世界离独裁只有五天。,2008/德国/剧情惊悚,153590人评价,浪潮,177,8.7
穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,2016/日本/剧情爱情动画,597860人评价,你的名字。,178,8.4
一个单凭体香达到高潮的男人。,2006/德国法国西班牙美国/剧情犯罪奇幻,318706人评价,香水,179,8.4
当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,2008/美国德国/剧情爱情,306910人评价,朗读者,180,8.5
王家卫是一种风格，张国荣是一个代表。,1990/香港/犯罪剧情爱情,248524人评价,阿飞正传,181,8.5
被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,2015/爱尔兰加拿大英国美国/剧情家庭,190776人评价,房间,182,8.8
不要企图在重复中寻找已经失去的爱。,2009/英国澳大利亚/剧情悬疑惊悚,386840人评价,恐怖游轮,183,8.4
坚硬的信仰。,2004/中国大陆香港/剧情犯罪,150738人评价,可可西里,184,8.7
他给机器起名“克里斯托弗”，因为这是他初恋的名字。,2014/英国美国/剧情传记战争同性,303625人评价,模仿游戏,185,8.6
迪士尼和皮克斯拿错剧本的产物。,2012/美国/喜剧动画奇幻冒险,239613人评价,无敌破坏王,186,8.7
惠及一生的美丽。,2015/瑞典/剧情,155120人评价,一个叫欧维的男人决定去死,187,8.8
养狗三日，便会对你终其一生。,1987/日本/剧情,76375人评价,忠犬八公物语,188,9.1
只有有信仰的人才能说出事实真相。,2011/伊朗法国/剧情家庭,151239人评价,一次别离,189,8.7
做一颗让别人需要你的棋子。,2005/美国法国/剧情犯罪,197863人评价,战争之王,190,8.6
宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,1989/日本/动画奇幻冒险,231184人评价,魔女宅急便,191,8.5
诺兰的牛逼来源于内心散发出的恐惧。,1998/英国/犯罪悬疑惊悚,94478人评价,追随,192,8.9
哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,2002/美国德国捷克/动作悬疑惊悚,225317人评价,谍影重重,193,8.5
来啊，互相伤害啊！,2016/意大利/剧情喜剧,255237人评价,完美陌生人,194,8.6
天使与魔鬼的冲撞。,2004/美国德国/犯罪剧情,196934人评价,撞车,195,8.6
想你时你在闹海。,1979/中国大陆/冒险动画奇幻,99428人评价,哪吒闹海,196,8.9
弱者送给弱者的一刀。,1991/台湾/剧情犯罪,126786人评价,牯岭街少年杀人事件,197,8.8
